iter	Passed	Remaining
427	39330	52563
428	39415	429	40429	39506	430	40430	39600	431	40431	39707	432	40432	39808	433	40433	39942	434	40434	40059	435	40435	40172	436	40436	40273	437	40437	40367	438	41438	40461	439	41439	40576	440	41440	40696	441	41441	40814	442	41442	40943	443	41443	41040	444	41444	41155	445	41445	41259	446	41446	41360	447	42447	41447	448	42448	41531	449	42449	41615	450	42450	41707	451	42451	41798	452	42452	41892	453	42453	41975	454	42454	42074	455	42455	42172	456	42456	42266	457	42457	42354	458	43458	42451	459	43459	42543	460	43460	42615	461	43461	42716	462	43462	42801	463	43463	42893	464	43464	42984	465	43465	43069	466	43822	50015
467	43907	49911
468	44001	49818
469	44101	49731
470	44199	49642
471	44471	43630	472	44472	43739	473	44507	49389
474	44596	49290
475	44686	49192
476	44779	49098
477	44882	49014
478	44968	48911
479	45057	48811
480	45134	48699
481	45235	48613
482	45326	48517
483	45426	48430
484	45515	48331
485	45594	48221
486	45696	48135
487	45790	48042
488	45892	47956
489	45969	47846
490	46073	47762
491	46159	47660
492	46246	47560
493	46330	47455
494	46425	47363
495	46518	47268
496	46607	47169
497	46701	47076
498	46790	46977
499	46882	46882
500	46966	46779
501	47060	46685
502	47160	46597
503	47247	46497
504	47330	46393
505	47437	46312
506	47540	46227
507	47620	46120
508	47701	46014
509	47789	45915
510	47879	45818
511	47983	45734
512	48080	45643
513	48177	45553
514	48274	45462
515	48363	45364
516	48458	45272
517	48533	45160
518	48617	45057
519	48714	44967
520	48805	44870
521	48892	44771
522	48980	44672
523	49081	44585
524	49182	44498
525	49275	44403
526	49369	44310
527	49462	44216
528	49545	44113
529	49636	44017
530	49721	43915
531	49821	43828
532	49924	43742
533	50018	43648
534	50106	43550
535	50201	43457
536	50279	43350
537	50388	43270
538	50472	43168
539	50557	43067
540	50637	42962
541	50714	42854
542	50797	42751
543	50864	42636
544	50947	42534
545	51025	42428
546	51118	42334
547	51207	42236
548	51291	42135
549	51394	42049
550	51490	41959
551	51594	41873
552	51678	41772
553	51772	41679
554	51883	41600
555	51988	41515
556	52081	41421
557	52176	41330
558	52271	41237
559	52365	41144
560	52476	41064
561	52562	40965
562	52662	40876
563	52742	40772
564	52826	40672
565	52918	40577
566	53006	40479
567	53102	40388
568	53202	40299
569	53292	40203
570	53396	40117
571	53497	40029
572	53580	39928
573	53660	39824
574	53743	39723
575	53826	39622
576	53917	39527
577	54001	39427
578	54099	39336
579	54171	39227
580	54269	39137
581	54364	39044
582	54449	38945
583	54527	38841
584	54630	38755
585	54714	38654
586	54807	38561
587	54892	38461
588	54974	38360
589	55079	38275
590	55177	38185
591	55269	38090
592	55369	38002
593	55474	37917
594	55569	37824
595	55652	37724
596	55743	37629
597	55839	37537
598	55934	37445
599	56021	37347
600	56114	37254
601	56211	37163
602	56297	37064
603	56377	36962
604	56480	36875
605	56565	36776
606	56659	36683
607	56745	36585
608	56841	36494
609	56932	36399
610	57016	36300
611	57095	36197
612	57185	36102
613	57266	36001
614	57372	35916
615	57452	35814
616	57537	35716
617	57629	35622
618	57724	35530
619	57817	35436
620	57907	35341
621	57979	35234
622	58085	35149
623	58182	35058
624	58276	34966
625	58375	34876
626	58472	34785
627	58568	34693
628	58664	34601
629	58753	34506
630	58848	34413
631	58942	34320
632	59035	34227
633	59120	34129
634	59208	34033
635	59307	33943
636	59417	33859
637	59517	33770
638	59623	33683
639	59706	33585
640	59796	33489
641	59880	33391
642	59978	33300
643	60063	33202
644	60141	33101
645	60225	33002
646	60306	32903
647	60416	32818
648	60511	32726
649	60621	32642
650	60711	32547
651	60801	32452
652	60901	32362
653	60998	32271
654	61088	32176
655	61168	32075
656	61257	31980
657	61352	31888
658	61445	31795
659	61530	31697
660	61628	31606
661	61725	31515
662	61832	31429
663	61909	31327
664	62008	31237
665	62101	31143
666	62195	31051
667	62270	30948
668	62356	30851
669	62461	30764
670	62539	30663
671	62634	30571
672	62717	30473
673	62806	30378
674	62897	30283
675	62990	30190
676	63082	30097
677	63190	30011
678	63271	29912
679	63368	29820
680	63459	29726
681	63538	29626
682	63617	29526
683	63700	29428
684	63789	29334
685	63880	29239
686	63958	29139
687	64047	29044
688	64132	28948
689	64224	28854
690	64319	28762
691	64418	28671
692	64538	28590
693	64641	28501
694	64726	28404
695	64817	28310
696	64901	28213
697	64997	28122
698	65099	28032
699	65194	27940
700	65287	27847
701	65392	27759
702	65489	27667
703	65574	27570
704	65658	27474
705	65752	27381
706	65858	27293
707	65939	27195
708	66029	27101
709	66114	27004
710	66208	26911
711	66295	26816
712	66396	26726
713	66502	26638
714	66609	26550
715	66692	26453
716	66800	26366
717	66908	26278
718	67035	26198
719	67150	26114
720	67259	26026
721	67346	25931
722	67451	25842
723	67547	25750
724	67626	25651
725	67722	25559
726	67815	25465
727	67926	25379
728	68032	25290
729	68142	25203
730	68242	25112
731	68328	25016
732	68441	24930
733	68546	24841
734	68647	24750
735	68731	24653
736	68834	24563
737	68921	24468
738	69007	24372
739	69094	24276
740	69168	24176
741	69250	24079
742	69344	23985
743	69447	23895
744	69541	23802
745	69623	23705
746	69715	23611
747	69828	23525
748	69919	23430
749	70012	23337
750	70093	23240
751	70177	23143
752	70262	23047
753	70357	22954
754	70469	22867
755	70561	22773
756	70655	22680
757	70748	22587
758	70837	22492
759	70941	22402
760	71024	22305
761	71113	22211
762	71197	22114
763	71288	22020
764	71387	21929
765	71487	21838
766	71599	21750
767	71694	21657
768	71791	21565
769	71880	21470
770	71962	21374
771	72060	21282
772	72139	21184
773	72239	21093
774	72338	21001
775	72430	20907
776	72532	20817
777	72633	20725
778	72717	20629
779	72804	20534
780	72888	20438
781	72994	20348
782	73092	20256
783	73181	20162
784	73265	20066
785	73356	19972
786	73445	19877
787	73524	19780
788	73610	19685
789	73697	19590
790	73785	19495
791	73873	19401
792	73959	19305
793	74047	19211
794	74140	19117
795	74231	19024
796	74319	18929
797	74417	18837
798	74514	18745
799	74602	18650
800	74694	18556
801	74770	18459
802	74851	18363
803	74941	18269
804	75040	18177
805	75126	18082
806	75213	17987
807	75301	17893
808	75411	17804
809	75491	17707
810	75586	17615
811	75672	17520
812	75765	17427
813	75860	17334
814	75951	17240
815	76037	17145
816	76129	17052
817	76211	16956
818	76294	16861
819	76384	16767
820	76485	16675
821	76571	16581
822	76670	16489
823	76768	16397
824	76869	16305
825	76961	16212
826	77046	16117
827	77138	16023
828	77239	15932
829	77340	15840
830	77432	15747
831	77529	15655
832	77629	15563
833	77714	15468
834	77798	15373
835	77892	15280
836	77987	15187
837	78076	15093
838	78186	15003
839	78286	14911
840	78388	14820
841	78499	14730
842	78604	14639
843	78694	14545
844	78799	14454
845	78886	14360
846	78977	14266
847	79075	14173
848	79165	14080
849	79262	13987
850	79350	13893
851	79453	13801
852	79557	13710
853	79654	13617
854	79745	13524
855	79838	13430
856	79918	13335
857	80027	13244
858	80129	13152
859	80225	13059
860	80315	12966
861	80416	12874
862	80494	12778
863	80598	12686
864	80694	12593
865	80783	12499
866	80883	12407
867	80964	12312
868	81057	12219
869	81149	12125
870	81241	12032
871	81328	11938
872	81429	11846
873	81525	11753
874	81621	11660
875	81703	11565
876	81805	11473
877	81880	11377
878	81973	11284
879	82055	11189
880	82148	11096
881	82249	11003
882	82354	10912
883	82439	10817
884	82540	10725
885	82631	10632
886	82720	10538
887	82808	10444
888	82886	10349
889	82980	10255
890	83060	10161
891	83147	10067
892	83245	9974
893	83325	9879
894	83430	9787
895	83516	9693
896	83601	9599
897	83692	9506
898	83790	9413
899	83879	9319
900	83966	9226
901	84053	9132
902	84137	9038
903	84229	8944
904	84329	8852
905	84423	8759
906	84520	8666
907	84598	8571
908	84692	8478
909	84775	8384
910	84859	8290
911	84950	8197
912	85029	8102
913	85119	8009
914	85205	7915
915	85286	7821
916	85374	7727
917	85464	7634
918	85547	7540
919	85638	7446
920	85721	7352
921	85812	7259
922	85902	7166
923	86009	7074
924	86096	6980
925	86184	6887
926	86272	6793
927	86375	6701
928	86482	6609
929	86575	6516
930	86673	6423
931	86778	6331
932	86892	6239
933	86985	6146
934	87086	6054
935	87171	5960
936	87264	5867
937	87355	5774
938	87452	5681
939	87545	5588
940	87619	5493
941	87706	5400
942	87787	5306
943	87887	5213
944	87973	5120
945	88069	5027
946	88164	4934
947	88251	4840
948	88328	4746
949	88427	4654
950	88519	4560
951	88613	4467
952	88696	4374
953	88796	4281
954	88891	4188
955	88975	4095
956	89073	4002
957	89162	3909
958	89254	3815
959	89343	3722
960	89437	3629
961	89523	3536
962	89615	3443
963	89712	3350
964	89800	3257
965	89885	3163
966	89982	3070
967	90062	2977
968	90147	2883
969	90248	2791
970	90346	2698
971	90458	2605
972	90552	2512
973	90648	2419
974	90739	2326
975	90820	2233
976	90910	2140
977	90997	2046
978	91085	1953
979	91189	1861
980	91275	1767
981	91376	1674
982	91479	1582
983	91571	1488
984	91671	1396
985	91758	1302
986	91839	1209
987	91930	1116
988	92014	1023
989	92093	930
990	92160	836
991	92236	743
992	92282	650
993	92325	557
994	92373	464
995	92402	371
996	92422	278
997	92440	185
998	92457	92
999	92475	0
57	0

